id,分类,有图,图片编号,适用地区,标题模板,正文,现象总结,趋势预测,正文末尾提示,默认方向,可选方向,默认强度,可选强度,反向逻辑说明,底层接口参数,备注
NEWS_POLICY_002,货币政策,否,,漂亮国|鸥联盟|樱花国|熊猫国,{region}央行官员称仍将观察通胀回落节奏,{time_text}，{region}政策层维持谨慎口风，市场对后续利率动作的判断暂未统一。汇率短线大概率还是围绕政策预期反复摆动，不会因为一句话就完全改写方向。 若后续通胀继续顽固，相关货币更容易获得支撑；若增长突然转弱，政策口风也可能转向保守。 这类消息的关键，不在表态本身有多强硬，而在利率上的优势会不会被市场继续放大。,{time_text}，{region}政策层维持谨慎口风，市场对后续利率动作的判断暂未统一。汇率短线大概率还是围绕政策预期反复摆动，不会因为一句话就完全改写方向。,若后续通胀继续顽固，相关货币更容易获得支撑；若增长突然转弱，政策口风也可能转向保守。,这类消息的关键，不在表态本身有多强硬，而在利率上的优势会不会被市场继续放大。,震荡,震荡|走稳|偏强,轻微,轻微|普通|明显,若市场认为表态比预期更强或更弱，方向都可能偏离原有震荡判断。,policy_signal|expectation_hold,官员讲话|政策观察
NEWS_POLICY_004,货币政策,否,,漂亮国|鸥联盟|袋鼠国|枫叶国,{region}议息前市场押注收敛，汇率暂时进入等待区间,{time_text}，议息窗口临近，市场主动压缩了对激进政策变化的押注幅度。价格短线看似平静，但本质上更像是在等待下一次明确表态来决定方向。 若会议结果略超预期，相关货币容易迅速脱离当前区间；若结果平淡，盘面可能继续维持试探式震荡。 这类新闻真正该盯的，是市场预期有没有提前收敛，以及利率路径上的想象空间是不是正在变窄。,{time_text}，议息窗口临近，市场主动压缩了对激进政策变化的押注幅度。价格短线看似平静，但本质上更像是在等待下一次明确表态来决定方向。,若会议结果略超预期，相关货币容易迅速脱离当前区间；若结果平淡，盘面可能继续维持试探式震荡。,这类新闻真正该盯的，是市场预期有没有提前收敛，以及利率路径上的想象空间是不是正在变窄。,等待,等待|震荡|收敛,轻微,轻微|普通,若市场突然提前收到更明确风向，等待状态也可能立刻被打破。,expectation_hold|volatility_hold,议息前瞻|押注收敛|等待区间
NEWS_DATA_002,经济数据,否,,漂亮国|袋鼠国|枫叶国|熊猫国,{region}就业与消费数据冷热不一，市场判断出现分歧,{time_text}，最新数据没有给出特别明确的方向，部分席位认为经济仍有韧性，也有人担心后劲不足。相关货币短期更像是在等待新的确认，而不是立刻选择单边突破。 若后续数据仍旧忽强忽弱，汇率大概率维持反复拉锯；若连续出现同方向信号，市场判断才会逐渐统一。 数据类资讯最值得盯的，是经济基本面有没有变差，以及市场给出的合理价格区间是否开始下移。,{time_text}，最新数据没有给出特别明确的方向，部分席位认为经济仍有韧性，也有人担心后劲不足。相关货币短期更像是在等待新的确认，而不是立刻选择单边突破。,若后续数据仍旧忽强忽弱，汇率大概率维持反复拉锯；若连续出现同方向信号，市场判断才会逐渐统一。,数据类资讯最值得盯的，是经济基本面有没有变差，以及市场给出的合理价格区间是否开始下移。,分化,分化|震荡|承压,轻微,轻微|普通|明显,若后续席位迅速统一判断，分化状态也可能很快变成单边承压或企稳。,expectation_split,就业|消费|分歧
NEWS_DATA_004,经济数据,否,,熊猫国|樱花国|鸥联盟|全球,{region}制造业信号反复，市场对复苏节奏仍缺乏共识,{time_text}，制造业景气度没有持续给出同方向信号，市场对{region}后续复苏节奏的判断出现来回摆动。汇率层面也因此更容易陷入上不去、跌不深的拉锯状态。 若景气指标持续改善，相关货币有机会慢慢修复估值；若订单与产出再度走弱，市场会更快转向保守。 这类数据后面最该盯的，是基本面修复有没有真正站稳，以及市场对合理价格水平的判断会不会继续下移。,{time_text}，制造业景气度没有持续给出同方向信号，市场对{region}后续复苏节奏的判断出现来回摆动。汇率层面也因此更容易陷入上不去、跌不深的拉锯状态。,若景气指标持续改善，相关货币有机会慢慢修复估值；若订单与产出再度走弱，市场会更快转向保守。,这类数据后面最该盯的，是基本面修复有没有真正站稳，以及市场对合理价格水平的判断会不会继续下移。,震荡,震荡|修复|承压,普通,轻微|普通|明显,若修复线索变得连续，方向可从震荡转成修复；若负面信号集中出现，也可能转成持续承压。,fair_value_drift|expectation_shift,制造业|复苏分歧|景气反复
NEWS_EXPECT_002,市场预期,否,,全球|漂亮国|鸥联盟,市场开始押注{region}货币阶段性企稳，但把握仍显不足,{time_text}，多头情绪略有回暖，不过追价意愿还不算坚决。价格层面更像是在试探底部是否稳住，而不是所有资金都相信反弹已经真正开始。 若后续消息继续温和偏暖，企稳判断有机会逐步强化；若再有利空打断，当前乐观预期也可能迅速退潮。 这类新闻更要看市场信心是不是持续恢复，而不是只看一两次短线反弹。,{time_text}，多头情绪略有回暖，不过追价意愿还不算坚决。价格层面更像是在试探底部是否稳住，而不是所有资金都相信反弹已经真正开始。,若后续消息继续温和偏暖，企稳判断有机会逐步强化；若再有利空打断，当前乐观预期也可能迅速退潮。,这类新闻更要看市场信心是不是持续恢复，而不是只看一两次短线反弹。,走稳,走稳|回暖|震荡,轻微,轻微|普通|明显,若后续利空突然增加，走稳判断会迅速退化成震荡甚至回吐。,sentiment_up_small|expectation_probe,企稳预期|试探押注
NEWS_EXPECT_004,市场预期,否,,全球|袋鼠国|枫叶国|珍珠国,市场开始下调对{region}货币的乐观判断，短线押注出现松动,{time_text}，原本偏乐观的交易席位开始主动收缩仓位，市场对{region}货币继续走强的把握明显下降。价格虽然未必立刻转空，但原本顺畅的上行动能看起来已经不像之前那样牢固。 若后续催化继续缺席，相关货币更可能进入高位震荡甚至温和回吐；若新的利好重新出现，乐观押注也可能再度聚集。 这类预期新闻真正反映的，是市场信心有没有松动，以及追价资金是否开始变得保守。,{time_text}，原本偏乐观的交易席位开始主动收缩仓位，市场对{region}货币继续走强的把握明显下降。价格虽然未必立刻转空，但原本顺畅的上行动能看起来已经不像之前那样牢固。,若后续催化继续缺席，相关货币更可能进入高位震荡甚至温和回吐；若新的利好重新出现，乐观押注也可能再度聚集。,这类预期新闻真正反映的，是市场信心有没有松动，以及追价资金是否开始变得保守。,回吐,回吐|震荡|分化,普通,轻微|普通|明显,若市场重新获得新催化，回吐判断也可能反转成走稳甚至再度偏强。,expectation_down_small|sentiment_down_small,乐观降温|仓位收缩|预期回吐
NEWS_TRADE_002,贸易与产业,否,,袋鼠国|枫叶国|珍珠国|全球,大宗商品与外部订单波动，{region}出口前景再添变数,{time_text}，商品价格与海外订单信号不够稳定，市场对{region}出口链条的持续性仍有保留。汇率层面更可能先表现为温和承压，而不是立刻出现急跌。 若商品价格继续回落或订单持续走弱，相关货币中期更容易慢慢转弱；若外需恢复，这类压力也可能被逐步消化。 贸易类新闻真正影响的，是外部需求有没有转差，以及长期支撑汇率的基本盘是否被削弱。,{time_text}，商品价格与海外订单信号不够稳定，市场对{region}出口链条的持续性仍有保留。汇率层面更可能先表现为温和承压，而不是立刻出现急跌。,若商品价格继续回落或订单持续走弱，相关货币中期更容易慢慢转弱；若外需恢复，这类压力也可能被逐步消化。,贸易类新闻真正影响的，是外部需求有没有转差，以及长期支撑汇率的基本盘是否被削弱。,承压,承压|偏弱|震荡,普通,轻微|普通|明显,若市场认为订单波动只是阶段扰动，方向也可能保持震荡而不是继续偏弱。,trade_bias_down_small,订单|出口|商品
NEWS_TRADE_004,贸易与产业,否,,全球|熊猫国|漂亮国|鸥联盟,原材料报价起伏加大，{region}产业成本面临重新评估,{time_text}，原材料价格的反复波动让市场开始重新估算{region}产业链的成本压力。汇率不会因为单次报价就立刻变脸，但中期竞争力的想象空间确实被压缩了一些。 若成本压力继续累积，相关货币的中期支撑可能逐步削弱；若价格回稳，市场也会把这次扰动视作短期波折。 这类产业新闻背后真正要看的，是出口环境有没有转差，以及长期支撑汇率的基本盘会不会被慢慢侵蚀。,{time_text}，原材料价格的反复波动让市场开始重新估算{region}产业链的成本压力。汇率不会因为单次报价就立刻变脸，但中期竞争力的想象空间确实被压缩了一些。,若成本压力继续累积，相关货币的中期支撑可能逐步削弱；若价格回稳，市场也会把这次扰动视作短期波折。,这类产业新闻背后真正要看的，是出口环境有没有转差，以及长期支撑汇率的基本盘会不会被慢慢侵蚀。,偏弱,偏弱|承压|震荡,普通,轻微|普通|明显,若原材料波动很快回落，成本压力缓解后也可能只留下短暂噪音。,trade_bias_shift|fair_value_drift,原材料|成本压力|产业评估
NEWS_POLITICAL_002,时政风险,否,,全球|漂亮国|鸥联盟|樱花国,{region}外交表态转趋强硬，市场风险偏好略有降温,{time_text}，最新表态没有直接改变政策，但已经足以让交易席位提高警惕。相关汇率未必马上单边变化，不过短线资金通常会先降低风险暴露。 若后续言辞继续升级，避险交易可能进一步升温；若局势很快缓和，当前冲击也可能只停留在情绪层面。 时政类新闻最后还是要看市场情绪是否继续恶化，以及避险买盘有没有持续放大。,{time_text}，最新表态没有直接改变政策，但已经足以让交易席位提高警惕。相关汇率未必马上单边变化，不过短线资金通常会先降低风险暴露。,若后续言辞继续升级，避险交易可能进一步升温；若局势很快缓和，当前冲击也可能只停留在情绪层面。,时政类新闻最后还是要看市场情绪是否继续恶化，以及避险买盘有没有持续放大。,降温,降温|承压|震荡,轻微,轻微|普通|明显,若局势很快缓和，市场可能把它视作口头噪音，方向会从降温转回平稳。,sentiment_down_small|safe_haven_up_small,外交摩擦|风险偏好
NEWS_MOVE_003,盘面异动,否,,全球|漂亮国|樱花国|熊猫国,短线止损盘连续触发，{region}相关货币波幅明显放大,{time_text}，原本分散的卖压在关键价位附近集中释放，市场开始出现连锁止损。这样的走势通常更偏向短线情绪宣泄，不一定意味着中期判断已经被彻底改写。 若后续对手盘不足，波动可能继续扩大；若恐慌卖压快速衰减，价格也可能很快出现技术性修正。 盘面异动最后真正要看的，是短线波动会不会继续蔓延，以及市场深度是否恢复到正常水平。,{time_text}，原本分散的卖压在关键价位附近集中释放，市场开始出现连锁止损。这样的走势通常更偏向短线情绪宣泄，不一定意味着中期判断已经被彻底改写。,若后续对手盘不足，波动可能继续扩大；若恐慌卖压快速衰减，价格也可能很快出现技术性修正。,盘面异动最后真正要看的，是短线波动会不会继续蔓延，以及市场深度是否恢复到正常水平。,放大,放大|偏移|收敛,明显,普通|明显|剧烈,若恐慌卖压被快速承接，放大走势也可能很快转成修正或收敛。,volatility_spike|liquidity_tighten|sentiment_down_small,止损链|恐慌波动|技术性修正
